Coluna;Ano
Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;Total
Am-Sao Gabriel da Cachoeira;0;5;5;5;7;0;0;3;4;2;16;11;6;14;2;0;0;1;0;0;81
Am-Sao Paulo de Olivenca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Sao Sebastiao do Uatuma;0;1;4;8;0;0;0;0;30;0;0;2;0;0;0;0;0;0;0;0;45
Am-Silves;0;0;0;0;0;0;0;0;1;2;3;3;2;0;0;0;0;0;0;0;11
Am-Tabatinga;19;6;5;6;4;8;34;43;8;171;3;39;72;17;0;2;6;0;0;0;443
Am-Tapaua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Tefe;16;22;18;9;19;35;26;20;42;8;11;10;10;12;1;2;11;0;0;0;272
Am-Tonantins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Uarini;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
Am-Urucara;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;6
Am-Urucurituba;0;0;0;0;0;0;0;0;4;0;18;0;3;0;0;0;0;0;0;0;25
Am-Ignorado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Amajari;57;0;0;7;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;67
Rr-Alto Alegre;2;1;0;0;0;8;1;0;0;2;1;18;17;0;1;10;0;0;7;3;71
Rr-Boa Vista;5113;4803;3403;4072;3992;2936;3356;3960;3335;4009;3076;5704;5725;4122;3856;2845;1469;1330;1094;1319;69519
Rr-Bonfim;0;0;0;0;0;1;4;7;19;3;0;0;0;0;0;0;0;2;2;10;48
Rr-Canta;16;206;5;70;251;142;0;3;14;10;5;4;12;6;4;17;63;3;0;1;832
Rr-Caracarai;76;103;6;10;3;2;2;0;0;12;45;40;28;0;17;2;1;1;2;0;350
Rr-Caroebe;0;1;15;13;5;5;5;6;0;3;2;0;4;4;4;5;6;0;5;1;84
