Município;Total
TO-IPUEIRAS;66
TO-ITACAJA;428
TO-ITAGUATINS;364
TO-ITAPIRATINS;279
TO-ITAPORA DO TOCANTINS;366
TO-JAU DO TOCANTINS;351
TO-JUARINA;195
TO-LAGOA DA CONFUSAO;1671
TO-LAGOA DO TOCANTINS;215
TO-LAJEADO;458
TO-LAVANDEIRA;126
TO-LIZARDA;180
TO-LUZINOPOLIS;183
TO-MARIANOPOLIS DO TOCANTINS;612
TO-MATEIROS;326
TO-MAURILANDIA DO TOCANTINS;218
TO-MIRACEMA DO TOCANTINS;1582
TO-MIRANORTE;1179
TO-MONTE DO CARMO;818
TO-MONTE SANTO DO TOCANTINS;183
TO-PALMEIRAS DO TOCANTINS;303
TO-MURICILANDIA;383
TO-NATIVIDADE;765
TO-NAZARE;205
TO-NOVA OLINDA;1200
TO-NOVA ROSALANDIA;234
TO-NOVO ACORDO;314
TO-NOVO ALEGRE;186
TO-NOVO JARDIM;161
TO-OLIVEIRA DE FATIMA;159
TO-PALMEIRANTE;376
TO-PALMEIROPOLIS;707
TO-PARAISO DO TOCANTINS;10109
TO-PARANA;545
TO-PAU D ARCO;380
TO-PEDRO AFONSO;2358
TO-PEIXE;1212
TO-PEQUIZEIRO;293
TO-COLMEIA;894
TO-PINDORAMA DO TOCANTINS;222
TO-PIRAQUE;470
TO-PIUM;655
TO-PONTE ALTA DO BOM JESUS;132
TO-PONTE ALTA DO TOCANTINS;410
TO-PORTO ALEGRE DO TOCANTINS;208
TO-PORTO NACIONAL;7581
TO-PRAIA NORTE;279
TO-PRESIDENTE KENNEDY;263
TO-PUGMIL;241
TO-RECURSOLANDIA;208
TO-RIACHINHO;321
TO-RIO DA CONCEICAO;184
TO-RIO DOS BOIS;69
TO-RIO SONO;361
TO-SAMPAIO;105
TO-SANDOLANDIA;433
TO-SANTA FE DO ARAGUAIA;822
TO-SANTA MARIA DO TOCANTINS;54
TO-SANTA RITA DO TOCANTINS;227
TO-SANTA ROSA DO TOCANTINS;381
TO-SANTA TEREZA DO TOCANTINS;195
TO-SANTA TEREZINHA DO TOCANTINS;122
TO-SAO BENTO DO TOCANTINS;527
TO-SAO FELIX DO TOCANTINS;105
TO-SAO MIGUEL DO TOCANTINS;555
TO-SAO SALVADOR DO TOCANTINS;228
TO-SAO SEBASTIAO DO TOCANTINS;278
TO-SAO VALERIO;333
TO-SILVANOPOLIS;543
TO-SITIO NOVO DO TOCANTINS;604
TO-SUCUPIRA;322
TO-TAGUATINGA;1016
TO-TAIPAS DO TOCANTINS;185
TO-TALISMA;449
TO-PALMAS;127901
TO-TOCANTINIA;376
TO-TOCANTINOPOLIS;1654
TO-TUPIRAMA;126
TO-TUPIRATINS;172
TO-WANDERLANDIA;800
TO-XAMBIOA;1430
TO-IGNORADO;0
MA-ACAILANDIA;16719
MA-AFONSO CUNHA;247
MA-AGUA DOCE DO MARANHAO;437
MA-ALCANTARA;1687
MA-ALDEIAS ALTAS;1491
MA-ALTAMIRA DO MARANHAO;258
MA-ALTO ALEGRE DO MARANHAO;862
MA-ALTO ALEGRE DO PINDARE;79
MA-ALTO PARNAIBA;892
MA-AMAPA DO MARANHAO;317
MA-AMARANTE DO MARANHAO;1329
MA-ANAJATUBA;818
MA-ANAPURUS;953
MA-APICUM-ACU;265
MA-ARAGUANA;262
MA-ARAIOSES;1607
MA-ARAME;931
MA-ARARI;1421
MA-AXIXA;501
MA-BACABAL;8546
MA-BACABEIRA;2013
MA-BACURI;814
MA-BACURITUBA;222
MA-BALSAS;17074
MA-BARAO DE GRAJAU;1184
MA-BARRA DO CORDA;4509
MA-BARREIRINHAS;1237
MA-BELAGUA;554
MA-BELA VISTA DO MARANHAO;277
MA-BENEDITO LEITE;286
MA-BEQUIMAO;86
MA-BERNARDO DO MEARIM;203
MA-BOA VISTA DO GURUPI;428
MA-BOM JARDIM;1211
MA-BOM JESUS DAS SELVAS;1333
MA-BOM LUGAR;311
MA-BREJO;1629
MA-BREJO DE AREIA;15
MA-BURITI;991
MA-BURITI BRAVO;385
MA-BURITICUPU;2708
MA-BURITIRANA;506
MA-CACHOEIRA GRANDE;275
MA-CAJAPIO;337
MA-CAJARI;669
MA-CAMPESTRE DO MARANHAO;1173
MA-CANDIDO MENDES;754
MA-CANTANHEDE;762
MA-CAPINZAL DO NORTE;692
MA-CAROLINA;2639
MA-CARUTAPERA;1385
MA-CAXIAS;13704
MA-CEDRAL;296
MA-CENTRAL DO MARANHAO;130
MA-CENTRO DO GUILHERME;369
MA-CENTRO NOVO DO MARANHAO;483
MA-CHAPADINHA;4185
MA-CIDELANDIA;978
MA-CODO;9180
MA-COELHO NETO;3875
MA-COLINAS;2323
MA-CONCEICAO DO LAGO-ACU;792
MA-COROATA;3139
MA-CURURUPU;1436
MA-DAVINOPOLIS;2651
MA-DOM PEDRO;1277
MA-DUQUE BACELAR;383
MA-ESPERANTINOPOLIS;798
MA-ESTREITO;3012
MA-FEIRA NOVA DO MARANHAO;419
MA-FERNANDO FALCAO;326
MA-FORMOSA DA SERRA NEGRA;739
MA-FORTALEZA DOS NOGUEIRAS;719
MA-FORTUNA;514
MA-GODOFREDO VIANA;542
MA-GONCALVES DIAS;577
MA-GOVERNADOR ARCHER;165
MA-GOVERNADOR EDISON LOBAO;1533
MA-GOVERNADOR EUGENIO BARROS;553
MA-GOVERNADOR LUIZ ROCHA;20
MA-GOVERNADOR NEWTON BELLO;197
MA-GOVERNADOR NUNES FREIRE;1369
MA-GRACA ARANHA;216
MA-GRAJAU;6024
MA-GUIMARAES;29
MA-HUMBERTO DE CAMPOS;1537
MA-ICATU;732
MA-IGARAPE DO MEIO;625
MA-IGARAPE GRANDE;397
MA-IMPERATRIZ;50295
MA-ITAIPAVA DO GRAJAU;183
MA-ITAPECURU MIRIM;4363
MA-ITINGA DO MARANHAO;2237
MA-JATOBA;395
MA-JENIPAPO DOS VIEIRAS;500
MA-JOAO LISBOA;1537
MA-JOSELANDIA;52
MA-JUNCO DO MARANHAO;401
MA-LAGO DA PEDRA;2462
MA-LAGO DO JUNCO;60
MA-LAGO VERDE;93
MA-LAGOA DO MATO;420
MA-LAGO DOS RODRIGUES;469
MA-LAGOA GRANDE DO MARANHAO;320
MA-LAJEADO NOVO;278
MA-LIMA CAMPOS;609
MA-LORETO;1148
MA-LUIS DOMINGUES;13
MA-MAGALHAES DE ALMEIDA;881
MA-MARACACUME;959
MA-MARAJA DO SENA;195
MA-MARANHAOZINHO;637
MA-MATA ROMA;884
MA-MATINHA;1087
MA-MATOES;1512
MA-MATOES DO NORTE;253
MA-MILAGRES DO MARANHAO;345
MA-MIRADOR;810
MA-MIRANDA DO NORTE;1081
MA-MIRINZAL;704
MA-MONCAO;1156
MA-MONTES ALTOS;407
MA-MORROS;936
MA-NINA RODRIGUES;334
MA-NOVA COLINAS;347
MA-NOVA IORQUE;281
MA-NOVA OLINDA DO MARANHAO;328
MA-OLHO D AGUA DAS CUNHAS;1075
MA-OLINDA NOVA DO MARANHAO;519
MA-PACO DO LUMIAR;6669
MA-PALMEIRANDIA;565
MA-PARAIBANO;919
MA-PARNARAMA;2275
MA-PASSAGEM FRANCA;634
MA-PASTOS BONS;1034
MA-PAULINO NEVES;1104
MA-PAULO RAMOS;941
MA-PEDREIRAS;4158
MA-PEDRO DO ROSARIO;562
MA-PENALVA;1371
MA-PERI MIRIM;374
MA-PERITORO;1058
MA-PINDARE-MIRIM;1654
MA-PINHEIRO;4604
MA-PIO XII;1336
MA-PIRAPEMAS;609
MA-POCAO DE PEDRAS;797
MA-PORTO FRANCO;1448
MA-PORTO RICO DO MARANHAO;258
MA-PRESIDENTE DUTRA;3976
MA-PRESIDENTE JUSCELINO;444
MA-PRESIDENTE MEDICI;364
MA-PRESIDENTE SARNEY;507
MA-PRESIDENTE VARGAS;526
MA-PRIMEIRA CRUZ;140
MA-RAPOSA;1529
MA-RIACHAO;1292
MA-RIBAMAR FIQUENE;562
MA-ROSARIO;2525
MA-SAMBAIBA;596
MA-SANTA FILOMENA DO MARANHAO;254
MA-SANTA HELENA;1433
MA-SANTA INES;9769
MA-SANTA LUZIA;3641
MA-SANTA LUZIA DO PARUA;1343
MA-SANTA QUITERIA DO MARANHAO;301
MA-SANTA RITA;1495
MA-SANTANA DO MARANHAO;43
MA-SANTO AMARO DO MARANHAO;474
MA-SANTO ANTONIO DOS LOPES;355
MA-SAO BENEDITO DO RIO PRETO;546
MA-SAO BENTO;1094
MA-SAO BERNARDO;744
MA-SAO DOMINGOS DO AZEITAO;460
MA-SAO DOMINGOS DO MARANHAO;1462
MA-SAO FELIX DE BALSAS;275
MA-SAO FRANCISCO DO BREJAO;186
