Município;Total
TO-RIO DA CONCEICAO;54
TO-RIO DOS BOIS;17
TO-RIO SONO;9
TO-SAMPAIO;1
TO-SANDOLANDIA;70
TO-SANTA FE DO ARAGUAIA;154
TO-SANTA MARIA DO TOCANTINS;9
TO-SANTA RITA DO TOCANTINS;25
TO-SANTA ROSA DO TOCANTINS;7
TO-SANTA TEREZA DO TOCANTINS;3
TO-SANTA TEREZINHA DO TOCANTINS;1
TO-SAO BENTO DO TOCANTINS;3
TO-SAO FELIX DO TOCANTINS;1
TO-SAO MIGUEL DO TOCANTINS;87
TO-SAO SALVADOR DO TOCANTINS;49
TO-SAO SEBASTIAO DO TOCANTINS;1
TO-SAO VALERIO DA NATIVIDADE;152
TO-SILVANOPOLIS;21
TO-SITIO NOVO DO TOCANTINS;116
TO-SUCUPIRA;38
TO-TAGUATINGA;246
TO-TAIPAS DO TOCANTINS;6
TO-TALISMA;30
TO-PALMAS;49475
TO-TOCANTINIA;138
TO-TOCANTINOPOLIS;515
TO-TUPIRAMA;69
TO-TUPIRATINS;81
TO-WANDERLANDIA;278
TO-XAMBIOA;259
TO-IGNORADO;0
MA-ACAILANDIA;4362
MA-AFONSO CUNHA;1
MA-AGUA DOCE DO MARANHAO;0
MA-ALCANTARA;372
MA-ALDEIAS ALTAS;124
MA-ALTAMIRA DO MARANHAO;22
MA-ALTO ALEGRE DO MARANHAO;228
MA-ALTO ALEGRE DO PINDARE;118
MA-ALTO PARNAIBA;83
MA-AMAPA DO MARANHAO;10
MA-AMARANTE DO MARANHAO;32
MA-ANAJATUBA;17
MA-ANAPURUS;150
MA-APICUM-ACU;0
MA-ARAGUANA;6
MA-ARAIOSES;400
MA-ARAME;42
MA-ARARI;839
MA-AXIXA;228
MA-BACABAL;4122
MA-BACABEIRA;439
MA-BACURI;8
MA-BACURITUBA;1
MA-BALSAS;2182
MA-BARAO DE GRAJAU;439
MA-BARRA DO CORDA;1317
MA-BARREIRINHAS;642
MA-BELAGUA;0
MA-BELA VISTA DO MARANHAO;0
MA-BENEDITO LEITE;7
MA-BEQUIMAO;414
MA-BERNARDO DO MEARIM;26
MA-BOA VISTA DO GURUPI;0
MA-BOM JARDIM;310
MA-BOM JESUS DAS SELVAS;81
MA-BOM LUGAR;0
MA-BREJO;488
MA-BREJO DE AREIA;0
MA-BURITI;14
MA-BURITI BRAVO;66
MA-BURITICUPU;190
MA-BURITIRANA;156
MA-CACHOEIRA GRANDE;76
MA-CAJAPIO;192
MA-CAJARI;5
MA-CAMPESTRE DO MARANHAO;557
MA-CANDIDO MENDES;22
MA-CANTANHEDE;128
MA-CAPINZAL DO NORTE;34
MA-CAROLINA;972
MA-CARUTAPERA;301
MA-CAXIAS;4788
MA-CEDRAL;4
MA-CENTRAL DO MARANHAO;0
MA-CENTRO DO GUILHERME;0
MA-CENTRO NOVO DO MARANHAO;4
MA-CHAPADINHA;2229
MA-CIDELANDIA;33
MA-CODO;3280
MA-COELHO NETO;2098
MA-COLINAS;256
MA-CONCEICAO DO LAGO-ACU;10
MA-COROATA;1863
MA-CURURUPU;780
MA-DAVINOPOLIS;124
MA-DOM PEDRO;358
MA-DUQUE BACELAR;53
MA-ESPERANTINOPOLIS;263
MA-ESTREITO;684
MA-FEIRA NOVA DO MARANHAO;0
MA-FERNANDO FALCAO;23
MA-FORMOSA DA SERRA NEGRA;0
MA-FORTALEZA DOS NOGUEIRAS;309
MA-FORTUNA;124
MA-GODOFREDO VIANA;15
MA-GONCALVES DIAS;11
MA-GOVERNADOR ARCHER;126
MA-GOVERNADOR EDISON LOBAO;213
MA-GOVERNADOR EUGENIO BARROS;244
MA-GOVERNADOR LUIZ ROCHA;43
MA-GOVERNADOR NEWTON BELLO;0
MA-GOVERNADOR NUNES FREIRE;32
MA-GRACA ARANHA;10
MA-GRAJAU;541
MA-GUIMARAES;11
MA-HUMBERTO DE CAMPOS;147
MA-ICATU;285
MA-IGARAPE DO MEIO;101
MA-IGARAPE GRANDE;190
MA-IMPERATRIZ;16251
MA-ITAIPAVA DO GRAJAU;54
MA-ITAPECURU MIRIM;1472
MA-ITINGA DO MARANHAO;1000
MA-JATOBA;0
MA-JENIPAPO DOS VIEIRAS;25
MA-JOAO LISBOA;160
MA-JOSELANDIA;129
MA-JUNCO DO MARANHAO;0
MA-LAGO DA PEDRA;602
MA-LAGO DO JUNCO;135
MA-LAGO VERDE;15
MA-LAGOA DO MATO;0
MA-LAGO DOS RODRIGUES;1
MA-LAGOA GRANDE DO MARANHAO;45
MA-LAJEADO NOVO;3
MA-LIMA CAMPOS;244
MA-LORETO;58
MA-LUIS DOMINGUES;2
MA-MAGALHAES DE ALMEIDA;93
MA-MARACACUME;4
MA-MARAJA DO SENA;0
MA-MARANHAOZINHO;0
MA-MATA ROMA;233
MA-MATINHA;933
MA-MATOES;562
MA-MATOES DO NORTE;0
MA-MILAGRES DO MARANHAO;0
MA-MIRADOR;15
MA-MIRANDA DO NORTE;218
MA-MIRINZAL;171
MA-MONCAO;20
MA-MONTES ALTOS;336
MA-MORROS;117
MA-NINA RODRIGUES;138
MA-NOVA COLINAS;100
MA-NOVA IORQUE;5
MA-NOVA OLINDA DO MARANHAO;20
MA-OLHO D AGUA DAS CUNHAS;203
MA-OLINDA NOVA DO MARANHAO;126
MA-PACO DO LUMIAR;1309
MA-PALMEIRANDIA;41
MA-PARAIBANO;434
MA-PARNARAMA;793
MA-PASSAGEM FRANCA;42
MA-PASTOS BONS;215
MA-PAULINO NEVES;0
MA-PAULO RAMOS;46
MA-PEDREIRAS;2081
MA-PEDRO DO ROSARIO;0
MA-PENALVA;56
MA-PERI MIRIM;73
MA-PERITORO;65
MA-PINDARE MIRIM;291
MA-PINHEIRO;1976
