Município;Total;
PA-VITORIA DO XINGU;14;
PA-XINGUARA;1242;
PA-IGNORADO;0;
AP-SERRA DO NAVIO;167;
AP-AMAPA;956;
AP-PEDRA BRANCA DO AMAPARI;38;
AP-CALCOENE;19;
AP-CUTIAS;1;
AP-FERREIRA GOMES;600;
AP-ITAUBAL;44;
AP-LARANJAL DO JARI;136;
AP-MACAPA;33588;
AP-MAZAGAO;204;
AP-OIAPOQUE;91;
AP-PORTO GRANDE;342;
AP-PRACUUBA;0;
AP-SANTANA;2808;
AP-TARTARUGALZINHO;4;
AP-VITORIA DO JARI;0;
AP-IGNORADO;0;
TO-ABREULANDIA;1;
TO-AGUIARNOPOLIS;0;
TO-ALIANCA DO TOCANTINS;274;
TO-ALMAS;57;
TO-ALVORADA;518;
TO-ANANAS;58;
TO-ANGICO;125;
TO-APARECIDA DO RIO NEGRO;9;
TO-ARAGOMINAS;105;
TO-ARAGUACEMA;62;
TO-ARAGUACU;323;
TO-ARAGUAINA;8087;
TO-ARAGUANA;26;
TO-ARAGUATINS;288;
TO-ARAPOEMA;291;
TO-ARRAIAS;325;
TO-AUGUSTINOPOLIS;45;
TO-AURORA DO TOCANTINS;2;
TO-AXIXA DO TOCANTINS;28;
TO-BABACULANDIA;147;
TO-BANDEIRANTES DO TOCANTINS;0;
TO-BARRA DO OURO;0;
TO-BARROLANDIA;54;
TO-BERNARDO SAYAO;105;
TO-BOM JESUS DO TOCANTINS;61;
TO-BRASILANDIA DO TOCANTINS;54;
TO-BREJINHO DE NAZARE;126;
TO-BURITI DO TOCANTINS;79;
TO-CACHOEIRINHA;1;
TO-CAMPOS LINDOS;86;
TO-CARIRI DO TOCANTINS;186;
TO-CARMOLANDIA;34;
TO-CARRASCO BONITO;59;
TO-CASEARA;93;
TO-CENTENARIO;0;
TO-CHAPADA DE AREIA;0;
TO-CHAPADA DA NATIVIDADE;0;
TO-COLINAS DO TOCANTINS;926;
TO-COMBINADO;49;
TO-CONCEICAO DO TOCANTINS;144;
TO-COUTO DE MAGALHAES;178;
TO-CRISTALANDIA;410;
TO-CRIXAS DO TOCANTINS;0;
TO-DARCINOPOLIS;10;
TO-DIANOPOLIS;321;
TO-DIVINOPOLIS DO TOCANTINS;32;
TO-DOIS IRMAOS DO TOCANTINS;80;
TO-DUERE;163;
TO-ESPERANTINA;0;
TO-FATIMA;40;
TO-FIGUEIROPOLIS;226;
TO-FILADELFIA;90;
TO-FORMOSO DO ARAGUAIA;1208;
TO-FORTALEZA DO TABOCAO;130;
TO-GOIANORTE;7;
TO-GOIATINS;179;
TO-GUARAI;741;
TO-GURUPI;6443;
TO-IPUEIRAS;0;
TO-ITACAJA;73;
TO-ITAGUATINS;73;
TO-ITAPIRATINS;8;
TO-ITAPORA DO TOCANTINS;26;
TO-JAU DO TOCANTINS;87;
TO-JUARINA;0;
TO-LAGOA DA CONFUSAO;73;
TO-LAGOA DO TOCANTINS;47;
TO-LAJEADO;30;
TO-LAVANDEIRA;0;
TO-LIZARDA;4;
TO-LUZINOPOLIS;0;
TO-MARIANOPOLIS DO TOCANTINS;20;
TO-MATEIROS;0;
TO-MAURILANDIA DO TOCANTINS;21;
TO-MIRACEMA DO TOCANTINS;594;
TO-MIRANORTE;363;
TO-MONTE DO CARMO;78;
TO-MONTE SANTO DO TOCANTINS;0;
TO-PALMEIRAS DO TOCANTINS;46;
TO-MURICILANDIA;61;
TO-NATIVIDADE;245;
TO-NAZARE;41;
TO-NOVA OLINDA;157;
TO-NOVA ROSALANDIA;16;
TO-NOVO ACORDO;76;
TO-NOVO ALEGRE;2;
TO-NOVO JARDIM;38;
TO-OLIVEIRA DE FATIMA;0;
TO-PALMEIRANTE;2;
TO-PALMEIROPOLIS;135;
TO-PARAISO DO TOCANTINS;2083;
TO-PARANA;44;
TO-PAU D ARCO;111;
TO-PEDRO AFONSO;134;
TO-PEIXE;118;
TO-PEQUIZEIRO;55;
TO-COLMEIA;101;
TO-PINDORAMA DO TOCANTINS;17;
TO-PIRAQUE;58;
TO-PIUM;94;
TO-PONTE ALTA DO BOM JESUS;12;
TO-PONTE ALTA DO TOCANTINS;13;
TO-PORTO ALEGRE DO TOCANTINS;67;
TO-PORTO NACIONAL;1947;
TO-PRAIA NORTE;1;
TO-PRESIDENTE KENNEDY;113;
TO-PUGMIL;0;
TO-RECURSOLANDIA;1;
TO-RIACHINHO;3;
TO-RIO DA CONCEICAO;55;
TO-RIO DOS BOIS;31;
TO-RIO SONO;8;
TO-SAMPAIO;61;
TO-SANDOLANDIA;66;
TO-SANTA FE DO ARAGUAIA;168;
TO-SANTA MARIA DO TOCANTINS;2;
TO-SANTA RITA DO TOCANTINS;0;
TO-SANTA ROSA DO TOCANTINS;3;
TO-SANTA TEREZA DO TOCANTINS;21;
TO-SANTA TEREZINHA DO TOCANTINS;0;
TO-SAO BENTO DO TOCANTINS;5;
TO-SAO FELIX DO TOCANTINS;1;
TO-SAO MIGUEL DO TOCANTINS;57;
TO-SAO SALVADOR DO TOCANTINS;51;
TO-SAO SEBASTIAO DO TOCANTINS;9;
