TO-FIGUEIROPOLIS;440;
TO-FILADELFIA;343;
TO-FORMOSO DO ARAGUAIA;1918;
TO-FORTALEZA DO TABOCAO;224;
TO-GOIANORTE;29;
TO-GOIATINS;215;
TO-GUARAI;1551;
TO-GURUPI;9393;
TO-IPUEIRAS;64;
TO-ITACAJA;286;
TO-ITAGUATINS;279;
TO-ITAPIRATINS;185;
TO-ITAPORA DO TOCANTINS;293;
TO-JAU DO TOCANTINS;245;
TO-JUARINA;6;
TO-LAGOA DA CONFUSAO;555;
TO-LAGOA DO TOCANTINS;46;
TO-LAJEADO;293;
TO-LAVANDEIRA;2;
TO-LIZARDA;33;
TO-LUZINOPOLIS;112;
TO-MARIANOPOLIS DO TOCANTINS;252;
TO-MATEIROS;8;
TO-MAURILANDIA DO TOCANTINS;117;
TO-MIRACEMA DO TOCANTINS;1544;
TO-MIRANORTE;799;
TO-MONTE DO CARMO;252;
TO-MONTE SANTO DO TOCANTINS;29;
TO-PALMEIRAS DO TOCANTINS;212;
TO-MURICILANDIA;317;
TO-NATIVIDADE;342;
TO-NAZARE;180;
TO-NOVA OLINDA;551;
TO-NOVA ROSALANDIA;160;
TO-NOVO ACORDO;169;
TO-NOVO ALEGRE;102;
TO-NOVO JARDIM;155;
TO-OLIVEIRA DE FATIMA;111;
TO-PALMEIRANTE;152;
TO-PALMEIROPOLIS;392;
TO-PARAISO DO TOCANTINS;4172;
TO-PARANA;400;
TO-PAU D ARCO;213;
TO-PEDRO AFONSO;1115;
TO-PEIXE;4508;
TO-PEQUIZEIRO;247;
TO-COLMEIA;598;
TO-PINDORAMA DO TOCANTINS;150;
TO-PIRAQUE;355;
TO-PIUM;482;
TO-PONTE ALTA DO BOM JESUS;59;
TO-PONTE ALTA DO TOCANTINS;241;
TO-PORTO ALEGRE DO TOCANTINS;8;
TO-PORTO NACIONAL;3529;
TO-PRAIA NORTE;210;
TO-PRESIDENTE KENNEDY;338;
TO-PUGMIL;184;
TO-RECURSOLANDIA;158;
TO-RIACHINHO;156;
TO-RIO DA CONCEICAO;107;
TO-RIO DOS BOIS;74;
TO-RIO SONO;27;
TO-SAMPAIO;142;
TO-SANDOLANDIA;175;
TO-SANTA FE DO ARAGUAIA;444;
TO-SANTA MARIA DO TOCANTINS;22;
TO-SANTA RITA DO TOCANTINS;93;
TO-SANTA ROSA DO TOCANTINS;326;
TO-SANTA TEREZA DO TOCANTINS;12;
TO-SANTA TEREZINHA DO TOCANTINS;111;
TO-SAO BENTO DO TOCANTINS;77;
TO-SAO FELIX DO TOCANTINS;4;
